tick,x,y,z,velX,velY,velZ,onGround,isFall
1,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
2,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
3,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
4,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
5,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
6,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
7,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
8,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
9,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
10,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
11,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
12,-5.072425885665517,68.1,5.0230745067499605,0.0,0.0,0.0,false,false
13,-5.072425885665517,68.1,5.0230745067499605,0.0,-0.0784000015258789,0.0,false,false
14,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
15,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
16,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
17,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
18,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
19,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
20,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
21,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
22,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
23,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
24,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
25,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
26,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
27,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
28,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
29,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
30,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
31,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
32,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
33,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
34,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
35,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
36,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
37,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
38,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
39,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
40,-5.072425885665517,68.0625,5.0230745067499605,0.0,-0.0784000015258789,0.0,true,false
41,-5.072425885665517,68.0625,5.140674513711783,0.0,-0.0784000015258789,0.0642096112592702,true,false
42,-5.072425885665517,68.0625,5.3224841319328755,0.0,-0.0784000015258789,0.09926806307896305,true,false
43,-5.072425885665517,68.0625,5.57463220114158,0.0,-0.0784000015258789,0.13767286177901747,true,false
44,-5.071868913791468,68.0625,5.8651840029044,3.0410667855383487E-4,-0.0784000015258789,0.15864130218910355,true,false
45,-5.0709052357422495,68.0625,6.176703825908816,5.261682759891694E-4,-0.0784000015258789,0.17008984311679362,true,false
46,-5.068928027750041,68.0625,6.499666649526979,0.0010795556891391171,-0.0784000015258789,0.17633772217760718,true,false
47,-5.064946523333854,68.0625,6.828856557803954,0.002173901663742114,-0.0784000015258789,0.17973771079623557,true,false
48,-5.056632912164966,68.0625,7.161350346654894,0.004539232225456644,-0.0784000015258789,0.1815416297991506,true,false
49,-5.046071134861335,68.0625,7.495652729148638,0.005766731077603633,-0.0784000015258789,0.18252912204282154,true,false
50,-5.0342818587055564,68.0,7.8309426038860535,0.006436945528723059,-0.0784000015258789,0.183068292870492,true,false
51,-5.0218223680986585,68.0,8.166771649451139,0.006802882661538825,-0.0784000015258789,0.18336268017659393,true,false
52,-5.008996940358945,68.0,8.502895082322327,0.007002684359263725,-0.0784000015258789,0.18352341566439542,true,false
53,-4.9959717109215065,68.0,8.839179250681317,0.007111776098892813,-0.0784000015258789,0.1836111772509288,true,false
54,-4.982837389744439,68.0,9.17555118062684,0.007171340195648822,-0.0784000015258789,0.1836590950827418,true,false
55,-4.969643504470616,68.0,9.511971028404176,0.007203862196255118,-0.0784000015258789,0.18368525822195061,true,false
56,-4.956417097196186,68.0,9.84841703932072,0.00722161921064868,-0.0784000015258789,0.18369954329761787,true,false
57,-4.943172932907363,68.0,10.184877335312931,0.007231314541633703,-0.0784000015258789,0.18370734294983812,true,false
58,-4.929919073287555,68.0,10.521345430957362,0.007236608192966397,-0.0784000015258789,0.18371160156044505,true,false
59,-4.916659920016413,67.92159999847412,10.8578177852124,0.007239498526929767,-0.1552320045166016,0.18371392676210652,false,false
60,-4.908416664048364,67.76636799395752,11.066991835599637,0.00750136314711302,-0.230527368912964,0.19034839133819353,false,false
61,-4.899911543460131,67.53584062504456,11.282800350562962,0.007739659958347455,-0.30431682745754424,0.19638575427642846,false,false
62,-4.891168126060664,67.5,11.504646228464521,0.007956510062820372,-0.0784000015258789,0.2018797547085584,true,false
63,-4.877189070919669,67.42159999847412,11.859286735867673,0.0076325649935257405,-0.1552320045166016,0.1936337395331887,false,false
64,-4.8685527484850235,67.26636799395752,12.078380599025992,0.007859053642023935,-0.230527368912964,0.19937542122003574,false,false
65,-4.85968993740188,67.03584062504456,12.30321614387116,0.008065158318097194,-0.30431682745754424,0.20460035170564816,false,false
66,-4.850621021642663,67.0,12.533276619201938,0.008252713578729169,-0.0784000015258789,0.2093550385845847,true,false
67,-4.83634576298576,67.0,12.895392410481117,0.007794292131996975,-0.0784000015258789,0.19771524500357668,true,false
68,-4.822528925775588,67.0,13.245868408179287,0.007543993993008411,-0.0784000015258789,0.19135991697015822,true,false
69,-4.808962386704405,67.0,13.58998907784404,0.007407331193246913,-0.0784000015258789,0.18788990746086104,true,false
70,-4.795532510432984,66.92159999847412,13.930639737999494,0.007332713295910069,-0.1552320045166016,0.18599528204871904,false,false
71,-4.787196039695954,66.76636799395752,14.142095143673343,0.0075861885893297515,-0.230527368912964,0.19242442470884186,false,false
72,-4.778606093665505,66.53584062504456,14.359979692007315,0.007816851112989315,-0.30431682745754424,0.1982749446981646,false,false
73,-4.769785485111395,66.23152379758702,14.58371476033061,0.008026754015568885,-0.37663049823865513,0.20359891804188426,false,false
74,-4.760754973654707,66.0,14.812773801997624,0.008217765662421215,-0.0784000015258789,0.20844373392429594,true,false
75,-4.746514662914111,66.0,15.173978288616514,0.007775210567476459,-0.0784000015258789,0.19721767260126466,true,false
76,-4.732716907268459,66.0,15.523956713912373,0.00753357545757007,-0.0784000015258789,0.19108824240694017,true,false
77,-4.719160786732715,66.0,15.867805709013906,0.007401642672236842,-0.0784000015258789,0.18774157313211454,true,false
78,-4.705736598982304,66.0,16.208308034840613,0.007329607363077808,-0.0784000015258789,0.18591429149581618,true,false
79,-4.692384446541051,66.0,16.546983079031023,0.0072902760797085445,-0.0784000015258789,0.1849165956065123,true,false
80,-4.679071625383168,65.92159999847412,16.88466042733213,0.007268801196494562,-0.1552320045166016,0.18437185358767916,false,false
81,-4.670799066745554,65.76636799395752,17.09449240454494,0.007528028577185477,-0.230527368912964,0.19094710476671944,false,false
82,-4.6622672807272485,65.53584062504456,17.310899632936792,0.00776392550041272,-0.30431682745754424,0.19693058351208892,false,false
83,-4.653499597785716,65.23152379758702,17.53329034007401,0.007978591706736152,-0.37663049823865513,0.20237554932729812,false,false
84,-4.64451724863786,65.0,17.76112601302644,0.008173937960120323,-0.0784000015258789,0.2073304683619384,true,false
85,-4.630320765599565,65.0,18.121217234082973,0.007751280639240648,-0.0784000015258789,0.19660982953361486,true,false
86,-4.61654693988215,65.0,18.47058781631118,0.007520509715235697,-0.0784000015258789,0.19075636005345434,true,false
87,-4.60300388508874,65.0,18.81410492905923,0.007394508776093653,-0.0784000015258789,0.18756036534606352,true,false
88,-4.589586831234472,65.0,19.154426047099886,0.0073257122553312005,-0.0784000015258789,0.18581535203314023,true,false
89,-4.576238573900966,65.0,19.49300215182762,0.007288149350631871,-0.0784000015258789,0.18486257465361655,true,false
90,-4.562927879472159,65.0,19.830625479175833,0.007267640002283822,-0.0784000015258789,0.18434235814397212,true,false
91,-4.549637694391701,65.0,20.1677285900144,0.007256441896785099,-0.0784000015258789,0.18405831989671445,true,false
92,-4.536358707416741,65.0,20.504547662605706,0.007250327730472619,-0.0784000015258789,0.18390323499569822,true,false
93,-4.523085834608094,65.0,20.841211650295996,0.007246989395278248,-0.0784000015258789,0.18381855862990798,true,false
94,-4.5098163001346405,65.0,21.1777909616205,0.007245166664050407,-0.0784000015258789,0.1837723253288164,true,false
95,-4.4965485883924154,65.0,21.51432403964391,0.00724417145268441,-0.0784000015258789,0.18374708194348832,true,false
96,-4.483281871861556,65.0,21.85083187428199,0.007243628067215459,-0.0784000015258789,0.18373329905349828,true,false
97,-4.470015698716166,65.0,22.18732592603008,0.0072433313787149504,-0.0784000015258789,0.18372577359468958,true,false
98,-4.456749822259276,65.0,22.523812452319365,0.0072431693867748585,-0.0784000015258789,0.1837216646937028,true,false
99,-4.443484107794327,65.0,22.860294869707662,0.007243080939165294,-0.0784000015258789,0.18371942123350343,true,false
100,-4.430218481776987,65.0,23.19677504363576,0.007243032646764863,-0.0784000015258789,0.18371819630409228,true,false
101,-4.416952904052048,65.0,23.533253992634446,0.0072430062791111645,-0.0784000015258789,0.18371752749255613,true,false
102,-4.40380452110839,65.0,23.86973686545026,0.007179017921098841,-0.0784000015258789,0.18371966989695632,true,false
103,-4.39193593896343,65.0,24.206264152901362,0.006480246603846021,-0.0784000015258789,0.18374392029064124,true,false
104,-4.382553743632537,65.0,24.54286025929137,0.005122679245680348,-0.0784000015258789,0.18378149543564842,true,false
105,-4.374426534423506,65.0,24.879491945219883,0.004437456743553011,-0.0784000015258789,0.18380092186592845,true,false
106,-4.363746851864058,65.0,25.2160447807927,0.005831107354757105,-0.0784000015258789,0.18375786956671766,true,false
107,-4.346201487639151,65.0,25.552232077700456,0.009579769979514988,-0.0784000015258789,0.18355828543241187,true,false
108,-4.323242187532576,65.0,25.88808249456901,0.012535779314253932,-0.0784000015258789,0.18337434890964294,true,false
109,-4.296874308252234,65.0,26.22370849781852,0.014396863759299838,-0.0784000015258789,0.18325181905941376,true,false
110,-4.26854316765145,65.0,26.55920264016274,0.015468804564770153,-0.0784000015258789,0.18317982299676244,true,false
111,-4.239140086245197,65.0,26.89462478644431,0.016054084312538727,-0.0784000015258789,0.1831405131419889,true,false
112,-4.208699305606062,65.0,27.229965496437952,0.01662066815950181,-0.0784000015258789,0.1830960489236157,true,false
113,-4.17602932981077,65.0,27.565095250311824,0.017837808856138393,-0.0784000015258789,0.1829808668688422,true,false
114,-4.1399284136712,65.0,27.899859596767648,0.019711102501701657,-0.0784000015258789,0.1827813543954145,true,false
115,-4.100616126945285,65.0,28.234257310095913,0.021464511045508686,-0.0784000015258789,0.18258117268451574,true,false
116,-4.079151615899776,65.0,28.416838482780427,0.01171962439211291,-0.0784000015258789,0.09968933186492343,true,false
117,-4.0674319915076635,65.0,28.51652781464535,0.006398915661344516,-0.0784000015258789,0.05443038152048003,true,false
118,-4.061033075846319,65.0,28.57095819616583,0.003493808356909127,-0.0784000015258789,0.029718991762121078,true,false
119,-4.0575392674894095,65.0,28.60067718792795,0.0019076195844474105,-0.0784000015258789,0.01622657138687701,true,false
120,-4.055631647904962,65.0,28.616903759314827,0.0010415604140882652,-0.0784000015258789,0.008859709006313329,true,false
121,-4.054590087490873,65.0,28.62576346832114,5.686920521472689E-4,-0.0784000015258789,0.004837401679323994,true,false
122,-4.054021395438726,65.0,28.630600870000464,3.105058965384846E-4,-0.0784000015258789,0.0026412216236957322,true,false
123,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
124,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
125,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
126,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
127,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
128,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
129,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
130,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
131,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
132,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
133,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
134,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
135,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
136,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
137,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
138,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
139,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
140,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
141,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
142,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
143,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
144,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
145,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
146,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
147,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
148,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
149,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
150,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
151,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
152,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
153,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
154,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
155,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
156,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
157,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
158,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
159,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
160,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
161,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
162,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
163,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
164,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
165,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
166,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
167,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
168,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
169,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
170,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
171,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
172,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
173,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
174,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
175,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
176,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
177,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
178,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
179,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
180,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
181,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
182,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
183,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
